code;description_eng;description_fr
410;Cable/coat damaged/folded directly at moulded part;Fil/gaine derrière l'injection endommagée/plié
411;Contact broken in the moulded part;Contact cassé dans l'injection
412;Position of contact in the moulded part wrong;Mauvaise position du contact dans l' injection
413;Excess material on the part;Excés matière sur la pièce
414;Mould joint not o.k.;Ligne de soudure non-conforme
415;Inscriptions not clear;Inscription illisible
416;Wrong material (granules);Mauvaise matière (granulés)
417;Mold burr too big;Bavure d' injection trop grande
418;Damaged molding grommet;Faute d'injection sur le passe-câble
420;Residues on surface;Déchets sur la surface
421;Injection point too high;Point d'injection trop long, mal arasé
422;molded part leaky;Piece surmoulé ne pas etancheite
500;Cable too hard;Fil trop dur
501;Foam (excessive material);Mousse (excès de matière)
502;Incompletely foamed;Mousse incomplète
503;Foamed part not proper cleaned;Pièce moulée non propre
504;Wrong branch position;Sortie mauvaise position
505;Foam too soft;Mousse trop molle
506;Foam too hard;Mousse trop dure
507;Parts missing/not properly foamed;Pièce manquante/non correctement moulée
508;Wire visible;Fils visibles
509;Air bubbles on surface;bulles d'air sur la surface
510;Foam inside the housing;Mousse dans le connecteur / Migration de matière
511;Pinched wire;Fil pincé
512;Density, hardness not o.k.;Dureté, densité non-conforme
513;Polymerisation not o.k.;Polymérisation non-conforme
514;Foam inside the housing;Mousse dans le connecteur (douille)
600;Terminals width wrong;Contact élargi
601;Loose fit;Contact mal fixé ( non encliqueté)
602;Wrong part;Erreur de composant
603;Missing part;Elément manquant
604;Incorrect position of parts;Mauvaise position de l'élément
605;Taping failures;enrubannage ( bandage) non-conforme
607;Damaged part;Elément endommagé
608;Incorrectly glued;Mauvais collage
609;Label missing;Manque identification
610;Label wrong;Mauvaise identification
611;Barcode not legible;Code à barres illisible
612;Corrugated tube incorrectly cut/split;Gaine mal coupé/fissuré
613;Parts not water tight;Elément non étanche
614;Parts corroded;Élément oxydé (rouillé)
615;Incorrect shrinking;Retrécissage non-conforme
616;Parts dirty;Element sale
617;Incorrect assembled;Assemblage non-conforme
618;Incorrect torque setting;Mauvais règlage couple
619;Missing marking;Marquage manquant
620;Marking incorrectly/Positioning Marking;Marquage non-conforme/ position
621;Positioning of branch incorrectly;Sortie de la branche non-conforme
622;Branch too short;Branche trop courte
623;Branch too big;Branche trop longue
624;Position of grommet not o.k.;Position passe fils non-conforme
625;Cross-section not o.k.;Section non-conforme
626;Number of threads not o.k.;Nombre de filets non-conforme
627;Fixture not o.k.;Fixation non-conforme
628;Thread not o.k.;Filetage non-conforme
633;Uneven dispersion of adhesive;Application inégale de colle
634;Adhesive on contact;Présence de colle sur les contacts
635;Wrong setting parameter;Mauvais paramètres de règlage
639;Faulty stamping;Perçage / Estampillage non-conforme
644;Other purchased part damaged;Autre composant d'achat endommagé
649;Other purchased part is missing;Autre composant d'achat manquant
656;Fuse deformed;Fusible déformé
657;Fuse in wrong position;Fusible en mauvaise position
658;Case not locked;Connecteur (douille) non verrouillé
659;Sleeve buckled;Manchon flambé / déformé
660;Other purchased part defective;Autre composant acheté non-conforme
661;Pin in false position;Position PIN non conformre
662;Pin deformed;PIN déformé
663;Overlap dimensions not o.k.;Dimension de recouvrement non-conforme
664;Diameter failure;Erreur Diamètre
665;Tight fit failure;Erreur de serrage
666;Braiding is loose;Pas de la tresse trop large / mal tenue
667;Loop under the braiding;Nœud dans la tresse
700;Broken cable;Fil coupé / cassé
701;Cable switched;Fil inversé
702;Contact missing;Contact manquant
703;Contact not locked;Contact non encliqueté
704;Short circuit;Court circuit
705;Cable missing;Fil manquant
706;Extra cable;Fil en plus
707;Diode polarity wrong;Diode inversé
708;Not tested;Non contrôlé
709;Air pipe failure;Tube à air endommagé
710;Attenuation too big;Amortissement trop important
711;Resistance not o.k.;Résistance non-conforme
712;Test identification not o.k.;Identification de test non-conforme
713;No function;Pas de fonction
714;High-voltage failure;Test haute tension non-conforme (Isolation)
715;Relay Missing;Manque relais
716;Wrong fuse;Erreur de fusible
717;Wrong relay;Erreur de relais
718;Fuse not locked;Fusible mal verrouillé
719;Relay not locked;Relais mal verrouillé
800;Wrong identification;Erreur d'identification
801;Wrong container;Erreur de contenant / défaut d'aspect
802;Wrong quantity;Erreur de quantité
803;Parts mixed;Eléments mélangés
804;Packaging damaged;Conditionnement endommagé
805;Documents missing/false;Document manquant/faux
806;Not packed to specification;Spécifications de conditionnement non respectées
807;Not on time delivery;Retard Livraison
808;FIFO not adhered;FIFO non respecté
809;Pack-labeling not completed;Etiquette incomplète
810;Wrong labeling;Mauvais étiquetage
811;Country of origin missing;Pays d'origine manquant
812;Wrong delivery;Mauvaise livraison
813;Parts without EMPB/ISIR/PPAP;Elements sans EMPB/ISIR/PPAP
900;Packaging wrong;Mauvais Conditionnement
901;Over supplied;Livraison en exédant
902;Under supplied;Livraison incomplète
903;Technical failure;Défaut technique
904;Too late supplied;Livraison en retard
905;Too early supplied;Livraison en avance
906;Wrong revision state;Erreur d'indice de révision
907;Parts damaged;Eléments endommagés
908;Wrong packing amount;Erreur de quantités emballées
909;Error on part number between Purchase order and delivery note;Erreur de référence entre la commande et le bon de livraison
910;Error on part number between delivery note and label.;Erreur de référence entre le bon de livraison et l'étiquette.
911;Missing part number;Manque référence.
912;Issue level received incorrect;Indice non-conforme.
913;Error of identification between label and content;Erreur d'identification entre l'étiquette et le contenu.
914;Mix of part numbers;Mélange de références.
1000;Wire tangled;fil emmêlé
1001;Wire damaged;Fil endommagé
1002;Copper visible;Cuivre apparent
1003;Copper not centered;Cuivre non centré
1004;Plastic isolation inflated , granular on plastic;Isolant boursouflé, granuleux sur plastique
1005;Length incorrect;Longueur non-conforme
1006;Missing marking, ilegible or wrong, color defect;Marquage absent, illisible ou erroné, défaut couleur.
1007;Copper oxydated;Cuivre oxydé.
1008;Difficult unreeling;Débobinage difficile
